,Aar,Mnd,Dag,Time,Ukedag,Pris_2021,Timestamp,Dato,Pris_2020,Production_2020,Consumption_2020,Production_2021,Consumption_2021,Forskjell_2020,Forskjell_2021
0,2021,1,1,0,5,25.54,2021-01-01 00:00:00,2021-01-01,30.92,16935.0,16151.0,21362.0,17207.0,784.0,4155.0
1,2021,1,1,1,5,24.64,2021-01-01 01:00:00,2021-01-01,30.57,16713.0,15787.0,20915.0,17192.0,926.0,3723.0
2,2021,1,1,2,5,25.44,2021-01-01 02:00:00,2021-01-01,29.98,16106.0,15532.0,19999.0,16954.0,574.0,3045.0
3,2021,1,1,3,5,25.39,2021-01-01 03:00:00,2021-01-01,29.57,15084.0,15427.0,19529.0,16726.0,-343.0,2803.0
4,2021,1,1,4,5,25.48,2021-01-01 04:00:00,2021-01-01,29.59,14149.0,15321.0,19583.0,16678.0,-1172.0,2905.0
5,2021,1,1,5,5,25.67,2021-01-01 05:00:00,2021-01-01,28.53,12643.0,15248.0,19918.0,16770.0,-2605.0,3148.0
6,2021,1,1,6,5,26.18,2021-01-01 06:00:00,2021-01-01,27.76,12146.0,15454.0,20860.0,17222.0,-3308.0,3638.0
7,2021,1,1,7,5,26.79,2021-01-01 07:00:00,2021-01-01,26.94,12339.0,15880.0,21791.0,17527.0,-3541.0,4264.0
8,2021,1,1,8,5,26.76,2021-01-01 08:00:00,2021-01-01,27.56,13142.0,16241.0,22336.0,17879.0,-3099.0,4457.0
9,2021,1,1,9,5,26.94,2021-01-01 09:00:00,2021-01-01,28.1,13226.0,16472.0,22788.0,18176.0,-3246.0,4612.0
10,2021,1,1,10,5,27.54,2021-01-01 10:00:00,2021-01-01,28.77,13660.0,16792.0,23477.0,18650.0,-3132.0,4827.0
11,2021,1,1,11,5,27.85,2021-01-01 11:00:00,2021-01-01,29.44,14433.0,17192.0,24254.0,19052.0,-2759.0,5202.0
12,2021,1,1,12,5,28.08,2021-01-01 12:00:00,2021-01-01,30.17,15098.0,17296.0,24551.0,19192.0,-2198.0,5359.0
13,2021,1,1,13,5,28.55,2021-01-01 13:00:00,2021-01-01,30.83,15359.0,17367.0,24697.0,19218.0,-2008.0,5479.0
14,2021,1,1,14,5,29.33,2021-01-01 14:00:00,2021-01-01,31.56,15893.0,17582.0,25004.0,19306.0,-1689.0,5698.0
15,2021,1,1,15,5,30.74,2021-01-01 15:00:00,2021-01-01,32.2,16628.0,17963.0,25534.0,19650.0,-1335.0,5884.0
16,2021,1,1,16,5,32.5,2021-01-01 16:00:00,2021-01-01,32.73,17393.0,18086.0,25709.0,19917.0,-693.0,5792.0
17,2021,1,1,17,5,32.44,2021-01-01 17:00:00,2021-01-01,32.65,17803.0,17908.0,25591.0,19814.0,-105.0,5777.0
18,2021,1,1,18,5,30.97,2021-01-01 18:00:00,2021-01-01,32.3,17636.0,17645.0,25324.0,19504.0,-9.0,5820.0
19,2021,1,1,19,5,30.36,2021-01-01 19:00:00,2021-01-01,31.57,17210.0,17545.0,24843.0,19120.0,-335.0,5723.0
20,2021,1,1,20,5,29.36,2021-01-01 20:00:00,2021-01-01,29.71,16253.0,17217.0,24334.0,18788.0,-964.0,5546.0
21,2021,1,1,21,5,26.85,2021-01-01 21:00:00,2021-01-01,29.37,15617.0,16828.0,24157.0,18352.0,-1211.0,5805.0
22,2021,1,1,22,5,24.63,2021-01-01 22:00:00,2021-01-01,27.81,14002.0,16420.0,23579.0,17869.0,-2418.0,5710.0
23,2021,1,1,23,5,23.44,2021-01-01 23:00:00,2021-01-01,26.66,13278.0,15878.0,22973.0,17645.0,-2600.0,5328.0
24,2021,1,2,0,6,23.36,2021-01-02 00:00:00,2021-01-02,12.97,12123.0,15343.0,21915.0,17157.0,-3220.0,4758.0
25,2021,1,2,1,6,23.43,2021-01-02 01:00:00,2021-01-02,14.11,11541.0,15166.0,20903.0,16859.0,-3625.0,4044.0
26,2021,1,2,2,6,23.33,2021-01-02 02:00:00,2021-01-02,20.49,11761.0,15152.0,20607.0,16804.0,-3391.0,3803.0
27,2021,1,2,3,6,23.36,2021-01-02 03:00:00,2021-01-02,22.69,11611.0,15136.0,20353.0,16665.0,-3525.0,3688.0
28,2021,1,2,4,6,23.43,2021-01-02 04:00:00,2021-01-02,26.1,11819.0,15137.0,20685.0,16728.0,-3318.0,3957.0
29,2021,1,2,5,6,24.99,2021-01-02 05:00:00,2021-01-02,28.23,12853.0,15580.0,21075.0,16779.0,-2727.0,4296.0
30,2021,1,2,6,6,25.89,2021-01-02 06:00:00,2021-01-02,29.81,14548.0,16654.0,21629.0,17082.0,-2106.0,4547.0
31,2021,1,2,7,6,27.3,2021-01-02 07:00:00,2021-01-02,30.51,15374.0,17795.0,22694.0,17643.0,-2421.0,5051.0
32,2021,1,2,8,6,27.44,2021-01-02 08:00:00,2021-01-02,31.56,16180.0,18280.0,23450.0,17962.0,-2100.0,5488.0
33,2021,1,2,9,6,28.52,2021-01-02 09:00:00,2021-01-02,32.18,16212.0,18311.0,23952.0,18387.0,-2099.0,5565.0
34,2021,1,2,10,6,29.38,2021-01-02 10:00:00,2021-01-02,32.14,16508.0,18386.0,24409.0,19043.0,-1878.0,5366.0
35,2021,1,2,11,6,31.56,2021-01-02 11:00:00,2021-01-02,32.19,16551.0,18232.0,24819.0,19297.0,-1681.0,5522.0
36,2021,1,2,12,6,30.35,2021-01-02 12:00:00,2021-01-02,32.17,16585.0,18188.0,24714.0,19304.0,-1603.0,5410.0
37,2021,1,2,13,6,30.46,2021-01-02 13:00:00,2021-01-02,32.17,16656.0,18236.0,24843.0,19391.0,-1580.0,5452.0
38,2021,1,2,14,6,30.64,2021-01-02 14:00:00,2021-01-02,32.43,16816.0,18374.0,24963.0,19414.0,-1558.0,5549.0
39,2021,1,2,15,6,42.14,2021-01-02 15:00:00,2021-01-02,33.27,17190.0,18569.0,25422.0,19636.0,-1379.0,5786.0
40,2021,1,2,16,6,62.44,2021-01-02 16:00:00,2021-01-02,33.53,17566.0,18818.0,26017.0,20087.0,-1252.0,5930.0
41,2021,1,2,17,6,64.17,2021-01-02 17:00:00,2021-01-02,33.29,17169.0,18418.0,26378.0,20285.0,-1249.0,6093.0
42,2021,1,2,18,6,63.46,2021-01-02 18:00:00,2021-01-02,32.61,16845.0,18222.0,26534.0,20228.0,-1377.0,6306.0
43,2021,1,2,19,6,31.75,2021-01-02 19:00:00,2021-01-02,31.45,16025.0,17935.0,25703.0,19767.0,-1910.0,5936.0
44,2021,1,2,20,6,29.04,2021-01-02 20:00:00,2021-01-02,30.27,14778.0,17417.0,24747.0,19276.0,-2639.0,5471.0
45,2021,1,2,21,6,28.59,2021-01-02 21:00:00,2021-01-02,30.11,14059.0,17111.0,24523.0,18950.0,-3052.0,5573.0
46,2021,1,2,22,6,28.47,2021-01-02 22:00:00,2021-01-02,29.75,13111.0,16614.0,23950.0,18519.0,-3503.0,5431.0
47,2021,1,2,23,6,27.51,2021-01-02 23:00:00,2021-01-02,26.21,12082.0,16055.0,23217.0,18087.0,-3973.0,5130.0
48,2021,1,3,0,7,26.8,2021-01-03 00:00:00,2021-01-03,20.34,11832.0,15564.0,22542.0,17657.0,-3732.0,4885.0
49,2021,1,3,1,7,26.08,2021-01-03 01:00:00,2021-01-03,10.72,11568.0,15279.0,21283.0,17353.0,-3711.0,3930.0
50,2021,1,3,2,7,25.3,2021-01-03 02:00:00,2021-01-03,1.64,11005.0,14988.0,20452.0,17177.0,-3983.0,3275.0
51,2021,1,3,3,7,25.0,2021-01-03 03:00:00,2021-01-03,1.12,10415.0,14916.0,20136.0,17058.0,-4501.0,3078.0
52,2021,1,3,4,7,24.91,2021-01-03 04:00:00,2021-01-03,1.14,10233.0,15022.0,20262.0,17125.0,-4789.0,3137.0
53,2021,1,3,5,7,25.29,2021-01-03 05:00:00,2021-01-03,10.66,11003.0,15586.0,20384.0,17219.0,-4583.0,3165.0
54,2021,1,3,6,7,25.51,2021-01-03 06:00:00,2021-01-03,26.3,13164.0,16485.0,20554.0,17530.0,-3321.0,3024.0
55,2021,1,3,7,7,26.3,2021-01-03 07:00:00,2021-01-03,28.67,14936.0,17886.0,21211.0,17930.0,-2950.0,3281.0
56,2021,1,3,8,7,26.48,2021-01-03 08:00:00,2021-01-03,30.22,16637.0,18717.0,22015.0,18278.0,-2080.0,3737.0
57,2021,1,3,9,7,27.2,2021-01-03 09:00:00,2021-01-03,30.71,17266.0,18779.0,22814.0,18857.0,-1513.0,3957.0
58,2021,1,3,10,7,27.57,2021-01-03 10:00:00,2021-01-03,30.26,17869.0,18962.0,23122.0,19273.0,-1093.0,3849.0
59,2021,1,3,11,7,27.65,2021-01-03 11:00:00,2021-01-03,30.92,18423.0,18925.0,23240.0,19421.0,-502.0,3819.0
60,2021,1,3,12,7,27.44,2021-01-03 12:00:00,2021-01-03,30.42,18525.0,18971.0,22614.0,19183.0,-446.0,3431.0
61,2021,1,3,13,7,27.39,2021-01-03 13:00:00,2021-01-03,30.56,18351.0,18917.0,22178.0,18959.0,-566.0,3219.0
62,2021,1,3,14,7,27.59,2021-01-03 14:00:00,2021-01-03,31.12,18434.0,19079.0,22352.0,19153.0,-645.0,3199.0
63,2021,1,3,15,7,28.1,2021-01-03 15:00:00,2021-01-03,32.09,18821.0,19292.0,23243.0,19819.0,-471.0,3424.0
64,2021,1,3,16,7,29.75,2021-01-03 16:00:00,2021-01-03,32.4,18982.0,19541.0,24732.0,20737.0,-559.0,3995.0
65,2021,1,3,17,7,30.26,2021-01-03 17:00:00,2021-01-03,32.31,18967.0,19680.0,25105.0,21066.0,-713.0,4039.0
66,2021,1,3,18,7,29.87,2021-01-03 18:00:00,2021-01-03,31.74,18303.0,19427.0,24607.0,20905.0,-1124.0,3702.0
67,2021,1,3,19,7,29.61,2021-01-03 19:00:00,2021-01-03,31.28,17489.0,19170.0,24347.0,20744.0,-1681.0,3603.0
68,2021,1,3,20,7,29.23,2021-01-03 20:00:00,2021-01-03,29.99,16008.0,18868.0,23710.0,20528.0,-2860.0,3182.0
69,2021,1,3,21,7,28.68,2021-01-03 21:00:00,2021-01-03,29.04,14881.0,18557.0,23355.0,20349.0,-3676.0,3006.0
70,2021,1,3,22,7,27.76,2021-01-03 22:00:00,2021-01-03,27.62,13890.0,17897.0,22577.0,19733.0,-4007.0,2844.0
71,2021,1,3,23,7,26.43,2021-01-03 23:00:00,2021-01-03,23.68,13195.0,17430.0,20921.0,19135.0,-4235.0,1786.0
72,2021,1,4,0,1,26.15,2021-01-04 00:00:00,2021-01-04,23.35,12962.0,16964.0,18897.0,18637.0,-4002.0,260.0
73,2021,1,4,1,1,25.51,2021-01-04 01:00:00,2021-01-04,21.96,12741.0,16732.0,18346.0,18391.0,-3991.0,-45.0
74,2021,1,4,2,1,25.32,2021-01-04 02:00:00,2021-01-04,21.66,12745.0,16678.0,18186.0,18373.0,-3933.0,-187.0
75,2021,1,4,3,1,25.48,2021-01-04 03:00:00,2021-01-04,21.08,12360.0,16500.0,18399.0,18382.0,-4140.0,17.0
76,2021,1,4,4,1,26.07,2021-01-04 04:00:00,2021-01-04,20.45,12228.0,16582.0,18989.0,18532.0,-4354.0,457.0
77,2021,1,4,5,1,27.4,2021-01-04 05:00:00,2021-01-04,20.31,12090.0,16648.0,20733.0,18968.0,-4558.0,1765.0
78,2021,1,4,6,1,29.92,2021-01-04 06:00:00,2021-01-04,21.21,12159.0,16948.0,22778.0,20056.0,-4789.0,2722.0
79,2021,1,4,7,1,32.72,2021-01-04 07:00:00,2021-01-04,23.16,13135.0,17466.0,25317.0,21774.0,-4331.0,3543.0
80,2021,1,4,8,1,52.18,2021-01-04 08:00:00,2021-01-04,24.01,14231.0,18041.0,26086.0,22252.0,-3810.0,3834.0
81,2021,1,4,9,1,53.05,2021-01-04 09:00:00,2021-01-04,25.98,15098.0,18633.0,26374.0,22419.0,-3535.0,3955.0
82,2021,1,4,10,1,58.75,2021-01-04 10:00:00,2021-01-04,26.8,15358.0,18926.0,26573.0,22418.0,-3568.0,4155.0
83,2021,1,4,11,1,59.95,2021-01-04 11:00:00,2021-01-04,26.98,15095.0,18970.0,26544.0,22222.0,-3875.0,4322.0
84,2021,1,4,12,1,55.22,2021-01-04 12:00:00,2021-01-04,26.8,15013.0,18825.0,26318.0,22036.0,-3812.0,4282.0
85,2021,1,4,13,1,59.95,2021-01-04 13:00:00,2021-01-04,26.81,14996.0,18906.0,26557.0,22281.0,-3910.0,4276.0
86,2021,1,4,14,1,61.5,2021-01-04 14:00:00,2021-01-04,27.13,15096.0,18663.0,26574.0,22377.0,-3567.0,4197.0
87,2021,1,4,15,1,61.54,2021-01-04 15:00:00,2021-01-04,28.29,15728.0,19030.0,26646.0,22604.0,-3302.0,4042.0
88,2021,1,4,16,1,64.16,2021-01-04 16:00:00,2021-01-04,29.4,16733.0,19458.0,26542.0,22635.0,-2725.0,3907.0
89,2021,1,4,17,1,69.17,2021-01-04 17:00:00,2021-01-04,31.03,17147.0,19778.0,26651.0,22650.0,-2631.0,4001.0
90,2021,1,4,18,1,63.68,2021-01-04 18:00:00,2021-01-04,31.78,17723.0,19656.0,26201.0,22265.0,-1933.0,3936.0
91,2021,1,4,19,1,56.98,2021-01-04 19:00:00,2021-01-04,31.61,17694.0,19329.0,26461.0,22125.0,-1635.0,4336.0
92,2021,1,4,20,1,39.96,2021-01-04 20:00:00,2021-01-04,29.78,17535.0,18747.0,26103.0,21735.0,-1212.0,4368.0
93,2021,1,4,21,1,36.93,2021-01-04 21:00:00,2021-01-04,29.44,17390.0,18106.0,25619.0,21348.0,-716.0,4271.0
94,2021,1,4,22,1,32.82,2021-01-04 22:00:00,2021-01-04,29.41,17294.0,17952.0,24627.0,20652.0,-658.0,3975.0
95,2021,1,4,23,1,29.0,2021-01-04 23:00:00,2021-01-04,27.69,17228.0,17808.0,23122.0,19890.0,-580.0,3232.0
96,2021,1,5,0,2,29.49,2021-01-05 00:00:00,2021-01-05,28.64,17648.0,17428.0,22095.0,19279.0,220.0,2816.0
97,2021,1,5,1,2,29.11,2021-01-05 01:00:00,2021-01-05,29.15,16938.0,17021.0,21985.0,18876.0,-83.0,3109.0
98,2021,1,5,2,2,28.72,2021-01-05 02:00:00,2021-01-05,29.13,16231.0,16722.0,21668.0,18694.0,-491.0,2974.0
99,2021,1,5,3,2,28.78,2021-01-05 03:00:00,2021-01-05,29.46,15755.0,16541.0,21677.0,18643.0,-786.0,3034.0
100,2021,1,5,4,2,29.47,2021-01-05 04:00:00,2021-01-05,30.15,15716.0,16647.0,22234.0,18909.0,-931.0,3325.0
101,2021,1,5,5,2,31.61,2021-01-05 05:00:00,2021-01-05,31.0,15783.0,16626.0,22939.0,19317.0,-843.0,3622.0
102,2021,1,5,6,2,37.94,2021-01-05 06:00:00,2021-01-05,31.44,16588.0,16703.0,24463.0,20523.0,-115.0,3940.0
103,2021,1,5,7,2,56.89,2021-01-05 07:00:00,2021-01-05,32.21,17739.0,17069.0,25854.0,22017.0,670.0,3837.0
104,2021,1,5,8,2,63.63,2021-01-05 08:00:00,2021-01-05,33.37,18727.0,17436.0,25948.0,22596.0,1291.0,3352.0
105,2021,1,5,9,2,63.76,2021-01-05 09:00:00,2021-01-05,33.5,19915.0,18050.0,26328.0,22807.0,1865.0,3521.0
106,2021,1,5,10,2,64.88,2021-01-05 10:00:00,2021-01-05,33.96,20094.0,18620.0,26407.0,22873.0,1474.0,3534.0
107,2021,1,5,11,2,66.24,2021-01-05 11:00:00,2021-01-05,33.9,19494.0,18855.0,26360.0,22869.0,639.0,3491.0
108,2021,1,5,12,2,65.2,2021-01-05 12:00:00,2021-01-05,33.55,19398.0,18819.0,26412.0,22887.0,579.0,3525.0
109,2021,1,5,13,2,66.06,2021-01-05 13:00:00,2021-01-05,33.24,19139.0,18807.0,26359.0,22719.0,332.0,3640.0
110,2021,1,5,14,2,65.79,2021-01-05 14:00:00,2021-01-05,32.96,19025.0,18715.0,26117.0,22743.0,310.0,3374.0
111,2021,1,5,15,2,66.29,2021-01-05 15:00:00,2021-01-05,33.08,19173.0,18854.0,26214.0,22981.0,319.0,3233.0
112,2021,1,5,16,2,68.15,2021-01-05 16:00:00,2021-01-05,33.48,19556.0,19213.0,26520.0,23423.0,343.0,3097.0
113,2021,1,5,17,2,69.57,2021-01-05 17:00:00,2021-01-05,33.88,19752.0,19085.0,26428.0,23143.0,667.0,3285.0
114,2021,1,5,18,2,63.77,2021-01-05 18:00:00,2021-01-05,33.42,19182.0,18704.0,26349.0,23014.0,478.0,3335.0
115,2021,1,5,19,2,57.97,2021-01-05 19:00:00,2021-01-05,32.69,18454.0,18340.0,26629.0,22797.0,114.0,3832.0
116,2021,1,5,20,2,43.25,2021-01-05 20:00:00,2021-01-05,32.1,17114.0,18075.0,26529.0,22632.0,-961.0,3897.0
117,2021,1,5,21,2,42.0,2021-01-05 21:00:00,2021-01-05,31.42,16705.0,18101.0,25915.0,22255.0,-1396.0,3660.0
118,2021,1,5,22,2,34.0,2021-01-05 22:00:00,2021-01-05,30.26,16027.0,17549.0,25143.0,21657.0,-1522.0,3486.0
119,2021,1,5,23,2,30.98,2021-01-05 23:00:00,2021-01-05,28.67,15131.0,17032.0,23644.0,20600.0,-1901.0,3044.0
120,2021,1,6,0,3,31.63,2021-01-06 00:00:00,2021-01-06,28.39,14468.0,16337.0,22171.0,19824.0,-1869.0,2347.0
121,2021,1,6,1,3,30.46,2021-01-06 01:00:00,2021-01-06,28.48,14077.0,15907.0,21848.0,19520.0,-1830.0,2328.0
122,2021,1,6,2,3,29.81,2021-01-06 02:00:00,2021-01-06,29.02,14084.0,15693.0,21519.0,19366.0,-1609.0,2153.0
123,2021,1,6,3,3,29.67,2021-01-06 03:00:00,2021-01-06,29.08,13581.0,15700.0,21711.0,19408.0,-2119.0,2303.0
124,2021,1,6,4,3,29.86,2021-01-06 04:00:00,2021-01-06,29.04,13876.0,15796.0,22139.0,19745.0,-1920.0,2394.0
125,2021,1,6,5,3,30.75,2021-01-06 05:00:00,2021-01-06,29.68,15345.0,16177.0,22516.0,20084.0,-832.0,2432.0
126,2021,1,6,6,3,32.58,2021-01-06 06:00:00,2021-01-06,30.26,17429.0,17606.0,23531.0,21217.0,-177.0,2314.0
127,2021,1,6,7,3,37.69,2021-01-06 07:00:00,2021-01-06,31.25,18892.0,18990.0,25121.0,22953.0,-98.0,2168.0
128,2021,1,6,8,3,41.55,2021-01-06 08:00:00,2021-01-06,31.95,19411.0,19559.0,25473.0,23672.0,-148.0,1801.0
129,2021,1,6,9,3,44.41,2021-01-06 09:00:00,2021-01-06,32.79,19720.0,19555.0,25759.0,23717.0,165.0,2042.0
130,2021,1,6,10,3,48.86,2021-01-06 10:00:00,2021-01-06,33.44,19922.0,19025.0,25691.0,23535.0,897.0,2156.0
131,2021,1,6,11,3,48.01,2021-01-06 11:00:00,2021-01-06,33.56,20216.0,18898.0,25897.0,23544.0,1318.0,2353.0
132,2021,1,6,12,3,49.01,2021-01-06 12:00:00,2021-01-06,33.51,20034.0,18674.0,25908.0,23383.0,1360.0,2525.0
133,2021,1,6,13,3,50.21,2021-01-06 13:00:00,2021-01-06,33.4,19991.0,18657.0,25801.0,23336.0,1334.0,2465.0
134,2021,1,6,14,3,54.41,2021-01-06 14:00:00,2021-01-06,33.54,20186.0,18843.0,25906.0,23356.0,1343.0,2550.0
135,2021,1,6,15,3,58.22,2021-01-06 15:00:00,2021-01-06,33.63,20803.0,19042.0,26206.0,23683.0,1761.0,2523.0
136,2021,1,6,16,3,61.93,2021-01-06 16:00:00,2021-01-06,34.13,21522.0,19308.0,26189.0,23902.0,2214.0,2287.0
137,2021,1,6,17,3,63.56,2021-01-06 17:00:00,2021-01-06,34.11,21583.0,19155.0,26476.0,23854.0,2428.0,2622.0
138,2021,1,6,18,3,59.04,2021-01-06 18:00:00,2021-01-06,33.64,21052.0,18839.0,26525.0,23429.0,2213.0,3096.0
139,2021,1,6,19,3,53.29,2021-01-06 19:00:00,2021-01-06,33.26,20228.0,18492.0,26628.0,23073.0,1736.0,3555.0
140,2021,1,6,20,3,42.25,2021-01-06 20:00:00,2021-01-06,32.86,19102.0,18161.0,26591.0,22702.0,941.0,3889.0
141,2021,1,6,21,3,42.35,2021-01-06 21:00:00,2021-01-06,32.54,18462.0,17870.0,26033.0,22337.0,592.0,3696.0
142,2021,1,6,22,3,41.04,2021-01-06 22:00:00,2021-01-06,31.66,17290.0,17494.0,25758.0,21735.0,-204.0,4023.0
143,2021,1,6,23,3,34.47,2021-01-06 23:00:00,2021-01-06,30.29,15899.0,16775.0,24753.0,20747.0,-876.0,4006.0
144,2021,1,7,0,4,45.69,2021-01-07 00:00:00,2021-01-07,29.18,14426.0,16170.0,23871.0,20175.0,-1744.0,3696.0
145,2021,1,7,1,4,43.37,2021-01-07 01:00:00,2021-01-07,29.1,13897.0,15658.0,23912.0,19951.0,-1761.0,3961.0
146,2021,1,7,2,4,41.56,2021-01-07 02:00:00,2021-01-07,29.03,13805.0,15359.0,23564.0,19635.0,-1554.0,3929.0
147,2021,1,7,3,4,42.19,2021-01-07 03:00:00,2021-01-07,28.99,13611.0,15104.0,23618.0,19489.0,-1493.0,4129.0
148,2021,1,7,4,4,43.78,2021-01-07 04:00:00,2021-01-07,29.21,14167.0,15141.0,23948.0,19571.0,-974.0,4377.0
149,2021,1,7,5,4,48.3,2021-01-07 05:00:00,2021-01-07,30.23,16086.0,15633.0,24291.0,19737.0,453.0,4554.0
150,2021,1,7,6,4,59.36,2021-01-07 06:00:00,2021-01-07,30.31,18064.0,17174.0,25588.0,21394.0,890.0,4194.0
151,2021,1,7,7,4,71.9,2021-01-07 07:00:00,2021-01-07,31.75,20328.0,18472.0,26224.0,23069.0,1856.0,3155.0
152,2021,1,7,8,4,89.54,2021-01-07 08:00:00,2021-01-07,32.0,21052.0,18984.0,26407.0,23483.0,2068.0,2924.0
153,2021,1,7,9,4,88.93,2021-01-07 09:00:00,2021-01-07,32.05,20878.0,18856.0,26970.0,23638.0,2022.0,3332.0
154,2021,1,7,10,4,87.43,2021-01-07 10:00:00,2021-01-07,32.15,21078.0,19023.0,26996.0,23500.0,2055.0,3496.0
155,2021,1,7,11,4,91.19,2021-01-07 11:00:00,2021-01-07,32.19,20902.0,18734.0,27017.0,23382.0,2168.0,3635.0
156,2021,1,7,12,4,89.83,2021-01-07 12:00:00,2021-01-07,32.4,20966.0,18581.0,26960.0,23277.0,2385.0,3683.0
157,2021,1,7,13,4,87.27,2021-01-07 13:00:00,2021-01-07,32.62,21249.0,18753.0,26817.0,23249.0,2496.0,3568.0
158,2021,1,7,14,4,83.38,2021-01-07 14:00:00,2021-01-07,32.59,21336.0,18900.0,26799.0,23241.0,2436.0,3558.0
159,2021,1,7,15,4,86.5,2021-01-07 15:00:00,2021-01-07,32.2,21362.0,19167.0,26501.0,23296.0,2195.0,3205.0
160,2021,1,7,16,4,95.11,2021-01-07 16:00:00,2021-01-07,32.13,21131.0,19476.0,26475.0,23802.0,1655.0,2673.0
161,2021,1,7,17,4,105.95,2021-01-07 17:00:00,2021-01-07,31.97,20397.0,19156.0,26180.0,23503.0,1241.0,2677.0
162,2021,1,7,18,4,89.74,2021-01-07 18:00:00,2021-01-07,32.02,19370.0,18899.0,25721.0,22853.0,471.0,2868.0
163,2021,1,7,19,4,82.5,2021-01-07 19:00:00,2021-01-07,31.66,17836.0,18563.0,26020.0,22750.0,-727.0,3270.0
164,2021,1,7,20,4,69.14,2021-01-07 20:00:00,2021-01-07,30.76,16300.0,18400.0,25639.0,22205.0,-2100.0,3434.0
165,2021,1,7,21,4,62.92,2021-01-07 21:00:00,2021-01-07,30.07,15047.0,17937.0,25865.0,21923.0,-2890.0,3942.0
166,2021,1,7,22,4,61.78,2021-01-07 22:00:00,2021-01-07,28.94,13932.0,17167.0,25364.0,21214.0,-3235.0,4150.0
167,2021,1,7,23,4,54.07,2021-01-07 23:00:00,2021-01-07,26.01,12990.0,16321.0,24751.0,20521.0,-3331.0,4230.0
168,2021,1,8,0,5,52.29,2021-01-08 00:00:00,2021-01-08,20.73,11469.0,15656.0,22979.0,19943.0,-4187.0,3036.0
169,2021,1,8,1,5,50.25,2021-01-08 01:00:00,2021-01-08,20.02,11235.0,15247.0,22645.0,19636.0,-4012.0,3009.0
170,2021,1,8,2,5,48.55,2021-01-08 02:00:00,2021-01-08,18.18,10743.0,15037.0,22622.0,19439.0,-4294.0,3183.0
171,2021,1,8,3,5,47.2,2021-01-08 03:00:00,2021-01-08,16.68,10699.0,15100.0,22628.0,19449.0,-4401.0,3179.0
172,2021,1,8,4,5,48.45,2021-01-08 04:00:00,2021-01-08,16.68,10394.0,14915.0,22705.0,19489.0,-4521.0,3216.0
173,2021,1,8,5,5,53.37,2021-01-08 05:00:00,2021-01-08,22.29,11785.0,15253.0,23207.0,19948.0,-3468.0,3259.0
174,2021,1,8,6,5,63.32,2021-01-08 06:00:00,2021-01-08,27.48,14191.0,16576.0,24577.0,21075.0,-2385.0,3502.0
175,2021,1,8,7,5,84.37,2021-01-08 07:00:00,2021-01-08,29.0,16382.0,18004.0,25586.0,22634.0,-1622.0,2952.0
176,2021,1,8,8,5,109.8,2021-01-08 08:00:00,2021-01-08,29.38,17144.0,18460.0,25986.0,23301.0,-1316.0,2685.0
177,2021,1,8,9,5,114.32,2021-01-08 09:00:00,2021-01-08,29.27,17270.0,18497.0,26043.0,23455.0,-1227.0,2588.0
178,2021,1,8,10,5,113.81,2021-01-08 10:00:00,2021-01-08,29.28,17349.0,18283.0,26265.0,23368.0,-934.0,2897.0
179,2021,1,8,11,5,110.57,2021-01-08 11:00:00,2021-01-08,29.3,17279.0,18075.0,26573.0,23357.0,-796.0,3216.0
180,2021,1,8,12,5,105.95,2021-01-08 12:00:00,2021-01-08,29.32,17240.0,18089.0,26619.0,23224.0,-849.0,3395.0
181,2021,1,8,13,5,101.03,2021-01-08 13:00:00,2021-01-08,29.42,17534.0,18075.0,26062.0,22950.0,-541.0,3112.0
182,2021,1,8,14,5,98.33,2021-01-08 14:00:00,2021-01-08,29.71,18119.0,18494.0,25993.0,22780.0,-375.0,3213.0
183,2021,1,8,15,5,101.19,2021-01-08 15:00:00,2021-01-08,29.93,19080.0,18973.0,25911.0,22889.0,107.0,3022.0
184,2021,1,8,16,5,100.75,2021-01-08 16:00:00,2021-01-08,29.89,20382.0,19624.0,25976.0,23105.0,758.0,2871.0
185,2021,1,8,17,5,116.65,2021-01-08 17:00:00,2021-01-08,29.68,20117.0,19229.0,26146.0,22978.0,888.0,3168.0
186,2021,1,8,18,5,106.0,2021-01-08 18:00:00,2021-01-08,29.69,19832.0,18856.0,25664.0,22626.0,976.0,3038.0
187,2021,1,8,19,5,84.97,2021-01-08 19:00:00,2021-01-08,29.7,19426.0,18839.0,25495.0,22345.0,587.0,3150.0
188,2021,1,8,20,5,65.2,2021-01-08 20:00:00,2021-01-08,29.37,18851.0,18734.0,25097.0,22008.0,117.0,3089.0
189,2021,1,8,21,5,63.03,2021-01-08 21:00:00,2021-01-08,29.08,18408.0,18464.0,24518.0,21513.0,-56.0,3005.0
190,2021,1,8,22,5,59.62,2021-01-08 22:00:00,2021-01-08,28.23,17312.0,17899.0,23541.0,20685.0,-587.0,2856.0
191,2021,1,8,23,5,53.53,2021-01-08 23:00:00,2021-01-08,26.1,16109.0,17149.0,23144.0,20364.0,-1040.0,2780.0
192,2021,1,9,0,6,50.46,2021-01-09 00:00:00,2021-01-09,23.02,15449.0,16725.0,23216.0,20001.0,-1276.0,3215.0
193,2021,1,9,1,6,49.89,2021-01-09 01:00:00,2021-01-09,22.09,14893.0,16053.0,23057.0,19610.0,-1160.0,3447.0
